T0000000120260226VIREMENT0000000001000000001500000155906
T0000000220260523DEPOT   0000000067          00000093445
T0000000320260429DEPOT   0000000016          00000091836
T0000000420260424VIREMENT0000000068000000007300000119495
T0000000520260521VIREMENT0000000065000000005500000166283
T0000000620260502RETRAIT 0000000021          00000148987
T0000000720260312RETRAIT 0000000034          00000150604
T0000000820260120VIREMENT0000000063000000003100000055645
T0000000920260323VIREMENT0000000037000000003100000055071
T0000001020260409VIREMENT0000000011000000001900000031015
T0000001120260415VIREMENT0000000020000000002900000013782
T0000001220260116RETRAIT 0000000070          00000093719
T0000001320260530DEPOT   0000000054          00000078506
T0000001420260102VIREMENT0000000003000000007500000076696
T0000001520260418RETRAIT 0000000039          00000150942
T0000001620260505VIREMENT0000000070000000007900000179664
T0000001720260108DEPOT   0000000035          00000087731
T0000001820260414RETRAIT 0000000044          00000134106
T0000001920260609VIREMENT0000000022000000006100000183989
T0000002020260107VIREMENT0000000004000000005200000118787
T0000002120260429DEPOT   0000000055          00000028004
T0000002220260325DEPOT   0000000007          00000052771
T0000002320260408DEPOT   0000000059          00000066042
T0000002420260121RETRAIT 0000000054          00000051202
T0000002520260114RETRAIT 0000000003          00000150056
T0000002620260111RETRAIT 0000000029          00000130379
T0000002720260106DEPOT   0000000032          00000040673
T0000002820260130VIREMENT0000000020000000003200000026118
T0000002920260405VIREMENT0000000028000000006100000140194
T0000003020260130DEPOT   0000000078          00000121842
T0000003120260107DEPOT   0000000040          00000022512
T0000003220260407RETRAIT 0000000074          00000135792
T0000003320260610RETRAIT 0000000026          00000016123
T0000003420260319DEPOT   0000000014          00000139741
T0000003520260525VIREMENT0000000077000000001600000159449
T0000003620260405DEPOT   0000000045          00000107016
T0000003720260104DEPOT   0000000065          00000129861
T0000003820260403RETRAIT 0000000063          00000022002
T0000003920260514VIREMENT0000000059000000002000000087662
T0000004020260518VIREMENT0000000035000000008000000161832
T0000004120260601RETRAIT 0000000060          00000087679
T0000004220260123RETRAIT 0000000042          00000170491
T0000004320260429RETRAIT 0000000058          00000049529
T0000004420260507VIREMENT0000000079000000004900000067943
T0000004520260401RETRAIT 0000000024          00000098022
T0000004620260602RETRAIT 0000000044          00000056652
T0000004720260218VIREMENT0000000036000000007300000003020
T0000004820260506DEPOT   0000000031          00000144295
T0000004920260506VIREMENT0000000031000000006200000129535
T0000005020260226RETRAIT 0000000003          00000019518
T0000005120260529RETRAIT 0000000032          00000061935
T0000005220260330RETRAIT 0000000061          00000111141
T0000005320260427RETRAIT 0000000071          00000066827
T0000005420260131RETRAIT 0000000040          00000051029
T0000005520260518VIREMENT0000000025000000004200000024791
T0000005620260504VIREMENT0000000024000000002600000044061
T0000005720260515RETRAIT 0000000076          00000195345
T0000005820260317VIREMENT0000000037000000001300000166693
T0000005920260104DEPOT   0000000047          00000036709
T0000006020260114VIREMENT0000000069000000001700000055588
T0000006120260506VIREMENT0000000038000000001700000127936
T0000006220260501DEPOT   0000000002          00000115239
T0000006320260114RETRAIT 0000000057          00000068800
T0000006420260117RETRAIT 0000000062          00000023703
T0000006520260114RETRAIT 0000000063          00000015742
T0000006620260319DEPOT   0000000020          00000162417
T0000006720260417DEPOT   0000000032          00000024572
T0000006820260408VIREMENT0000000077000000002900000155363
T0000006920260531RETRAIT 0000000057          00000060173
T0000007020260116RETRAIT 0000000040          00000114157
T0000007120260309VIREMENT0000000013000000002800000125477
T0000007220260522VIREMENT0000000011000000002200000048733
T0000007320260426DEPOT   0000000021          00000001532
T0000007420260301VIREMENT0000000077000000006100000058961
T0000007520260427RETRAIT 0000000037          00000140895
T0000007620260610DEPOT   0000000030          00000184858
T0000007720260227VIREMENT0000000026000000005600000023840
T0000007820260119VIREMENT0000000020000000003600000165500
T0000007920260602DEPOT   0000000022          00000158733
T0000008020260430VIREMENT0000000073000000003700000088392
T0000008120260509VIREMENT0000000039000000005300000188593
T0000008220260111VIREMENT0000000064000000005700000017008
T0000008320260107RETRAIT 0000000042          00000121139
T0000008420260528DEPOT   0000000030          00000192420
T0000008520260214VIREMENT0000000003000000003600000115673
T0000008620260313RETRAIT 0000000067          00000130650
T0000008720260506DEPOT   0000000075          00000087741
T0000008820260327DEPOT   0000000061          00000070244
T0000008920260326RETRAIT 0000000014          00000171689
T0000009020260413RETRAIT 0000000064          00000058355
T0000009120260306VIREMENT0000000005000000006000000018524
T0000009220260414RETRAIT 0000000015          00000194067
T0000009320260114VIREMENT0000000001000000007100000092933
T0000009420260508DEPOT   0000000067          00000072994
T0000009520260521VIREMENT0000000057000000000700000041508
T0000009620260505DEPOT   0000000037          00000088185
T0000009720260605DEPOT   0000000004          00000194656
T0000009820260104DEPOT   0000000021          00000062839
T0000009920260130VIREMENT0000000053000000001200000045715
T0000010020260209RETRAIT 0000000016          00000129894
T0000010120260311RETRAIT 0000000038          00000102266
T0000010220260304RETRAIT 0000000062          00000196069
T0000010320260218RETRAIT 0000000071          00000029784
T0000010420260312VIREMENT0000000066000000001800000172941
T0000010520260510RETRAIT 0000000044          00000186915
T0000010620260318RETRAIT 0000000001          00000057285
T0000010720260425VIREMENT0000000075000000006300000173187
T0000010820260520VIREMENT0000000062000000004500000067156
T0000010920260218RETRAIT 0000000059          00000186638
T0000011020260416VIREMENT0000000031000000007500000077211
T0000011120260408DEPOT   0000000041          00000149196
T0000011220260110RETRAIT 0000000020          00000099570
T0000011320260326DEPOT   0000000065          00000193105
T0000011420260427DEPOT   0000000057          00000020843
T0000011520260209DEPOT   0000000019          00000082586
T0000011620260309DEPOT   0000000061          00000156524
T0000011720260121RETRAIT 0000000080          00000138848
T0000011820260323RETRAIT 0000000069          00000076622
T0000011920260118VIREMENT0000000063000000007100000008144
T0000012020260124DEPOT   0000000037          00000199488
T0000012120260126RETRAIT 0000000013          00000152314
T0000012220260108RETRAIT 0000000022          00000139106
T0000012320260317DEPOT   0000000042          00000159433
T0000012420260304RETRAIT 0000000048          00000086707
T0000012520260216VIREMENT0000000053000000007400000136678
T0000012620260408DEPOT   0000000023          00000016715
T0000012720260206VIREMENT0000000031000000006500000182653
T0000012820260428DEPOT   0000000060          00000127943
T0000012920260430RETRAIT 0000000002          00000179883
T0000013020260424RETRAIT 0000000070          00000032437
T0000013120260419RETRAIT 0000000076          00000060532
T0000013220260220VIREMENT0000000033000000006000000169215
T0000013320260408RETRAIT 0000000062          00000022224
T0000013420260317VIREMENT0000000046000000007500000059879
T0000013520260525DEPOT   0000000051          00000055622
T0000013620260315VIREMENT0000000007000000007900000149289
T0000013720260226DEPOT   0000000078          00000160584
T0000013820260205VIREMENT0000000025000000003400000135875
T0000013920260423VIREMENT0000000013000000000600000062478
T0000014020260203DEPOT   0000000075          00000073607
T0000014120260417DEPOT   0000000038          00000066017
T0000014220260519DEPOT   0000000026          00000027300
T0000014320260311RETRAIT 0000000068          00000100857
T0000014420260504DEPOT   0000000033          00000182896
T0000014520260430RETRAIT 0000000044          00000161042
T0000014620260227DEPOT   0000000019          00000151076
T0000014720260412VIREMENT0000000051000000007300000073789
T0000014820260427DEPOT   0000000034          00000107778
T0000014920260406RETRAIT 0000000034          00000117327
T0000015020260608DEPOT   0000000030          00000094824
T0000015120260117VIREMENT0000000042000000008000000045052
T0000015220260130VIREMENT0000000060000000003900000130199
T0000015320260319DEPOT   0000000006          00000189306
T0000015420260518RETRAIT 0000000015          00000020341
T0000015520260519DEPOT   0000000050          00000091275
T0000015620260209RETRAIT 0000000076          00000148712
T0000015720260607RETRAIT 0000000013          00000166905
T0000015820260405RETRAIT 0000000036          00000007511
T0000015920260302DEPOT   0000000057          00000089494
T0000016020260405RETRAIT 0000000013          00000196205
T0000016120260218VIREMENT0000000046000000000800000080230
T0000016220260224DEPOT   0000000059          00000019243
T0000016320260327VIREMENT0000000077000000000300000011065
T0000016420260222DEPOT   0000000017          00000157609
T0000016520260225DEPOT   0000000071          00000042224
T0000016620260602DEPOT   0000000043          00000155099
T0000016720260207DEPOT   0000000036          00000171823
T0000016820260214DEPOT   0000000070          00000050880
T0000016920260402DEPOT   0000000004          00000027229
T0000017020260214DEPOT   0000000076          00000065431
T0000017120260418RETRAIT 0000000007          00000026225
T0000017220260403VIREMENT0000000015000000000900000095773
T0000017320260226VIREMENT0000000076000000001400000090949
T0000017420260108VIREMENT0000000006000000006800000061024
T0000017520260420DEPOT   0000000062          00000169612
T0000017620260424VIREMENT0000000014000000006400000142768
T0000017720260207DEPOT   0000000011          00000065100
T0000017820260530DEPOT   0000000017          00000055728
T0000017920260516VIREMENT0000000042000000005000000198931
T0000018020260421RETRAIT 0000000059          00000101605
T0000018120260522DEPOT   0000000015          00000170706
T0000018220260228VIREMENT0000000028000000005700000090859
T0000018320260413RETRAIT 0000000044          00000165656
T0000018420260322RETRAIT 0000000013          00000063197
T0000018520260502VIREMENT0000000033000000004900000190765
T0000018620260124DEPOT   0000000012          00000166523
T0000018720260406RETRAIT 0000000013          00000149173
T0000018820260524DEPOT   0000000072          00000012936
T0000018920260419VIREMENT0000000043000000001600000082751
T0000019020260401VIREMENT0000000007000000003800000120482
T0000019120260209DEPOT   0000000074          00000101975
T0000019220260331VIREMENT0000000062000000002900000169608
T0000019320260527VIREMENT0000000048000000001500000152759
T0000019420260609DEPOT   0000000055          00000169186
T0000019520260310VIREMENT0000000072000000000400000122190
T0000019620260321DEPOT   0000000024          00000055381
T0000019720260206RETRAIT 0000000045          00000002215
T0000019820260108VIREMENT0000000052000000000900000029233
T0000019920260418DEPOT   0000000068          00000043811
T0000020020260321RETRAIT 0000000044          00000032324
T0000020120260114VIREMENT0000000042000000007400000119649
T0000020220260113DEPOT   0000000021          00000151133
T0000020320260419VIREMENT0000000011000000003600000089179
T0000020420260311RETRAIT 0000000078          00000088967
T0000020520260421DEPOT   0000000066          00000023650
T0000020620260601DEPOT   0000000037          00000135965
T0000020720260112RETRAIT 0000000068          00000133759
T0000020820260115DEPOT   0000000051          00000196905
T0000020920260224DEPOT   0000000027          00000060982
T0000021020260131DEPOT   0000000033          00000058600
